AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD,REF_YEAR
SBBR,2024-04,4771,116500.26666666666,100561.81999999999,15938.44666666667,3.340693076224412,2023
SBBR,2024-05,5243,127796.95,110647.22708333333,17149.722916666666,3.270975189141077,2023
SBBR,2024-06,4823,118115.28333333334,101912.34166666666,16202.94166666668,3.35951517036423,2023
SBBR,2024-07,5093,124754.21666666666,107459.10916666666,17295.1075,3.395858531317494,2023
SBBR,2024-08,5361,132532.18333333332,113083.43958333333,19448.743749999994,3.627820136168624,2023
SBBR,2024-09,5304,131081.55,112129.56375,18951.986249999987,3.573149745475111,2023
SBBR,2024-10,5461,135056.1,115021.67083333332,20034.429166666683,3.6686374595617437,2023
SBBR,2024-11,4970,121787.1,104489.67333333332,17297.42666666668,3.4803675385647246,2023
SBBR,2024-12,3833,94134.91666666667,80688.27541666667,13446.64125,3.5081245108270287,2023
SBRJ,2021-02,4,95.31666666666666,86.18291666666667,9.133749999999992,2.283437499999998,2023
SBRJ,2021-03,1381,32748.466666666667,29218.726666666666,3529.7400000000016,2.5559304851556854,2023
SBRJ,2021-04,1393,33618.8,29394.11333333333,4224.686666666672,3.0327973199330023,2023
SBRJ,2021-05,2134,51873.76666666667,45198.556666666664,6675.210000000006,3.1280271790065632,2023
SBRJ,2021-06,2420,59644.28333333333,51289.54458333333,8354.738750000004,3.4523713842975225,2023
SBRJ,2021-07,2688,66636.86666666667,56818.68666666667,9818.18,3.652596726190476,2023
SBRJ,2021-08,2949,73293.73333333334,62292.371666666666,11001.361666666671,3.7305397309822554,2023
SBRJ,2021-09,3179,77917.8,66838.91791666666,11078.882083333345,3.4850211020237007,2023
SBRJ,2021-10,3031,74958.28333333334,63770.392499999994,11187.890833333346,3.6911550093478542,2023
SBRJ,2021-11,3587,88076.38333333333,75438.66583333333,12637.717499999999,3.52319974909395,2023
SBRJ,2021-12,3661,91146.26666666666,77027.4475,14118.819166666668,3.856547163798598,2023
SBRJ,2022-01,2786,69441.18333333333,58708.11458333333,10733.068750000006,3.8525013460157953,2023
SBRJ,2022-02,2762,68441.65,58299.776666666665,10141.87333333333,3.6719309678976573,2023
SBRJ,2022-03,3667,91836.3,77204.78666666667,14631.513333333336,3.9900499954549593,2023
SBRJ,2022-04,3628,92472.43333333333,76512.47666666667,15959.956666666665,4.3991060271958835,2023
SBRJ,2022-05,4553,112584.4,96220.27458333333,16364.125416666662,3.5941413170803123,2023
SBRJ,2022-06,3888,96891.31666666667,82109.2475,14782.069166666668,3.80197252229081,2023
SBRJ,2022-07,4640,118697.8,98078.29541666666,20619.504583333342,4.443858746408048,2023
SBRJ,2022-08,4655,117929.53333333334,98254.03291666666,19675.500416666677,4.226745524525602,2023
SBRJ,2022-09,4579,119793.38333333333,96424.77208333333,23368.61125,5.103431153090194,2023
SBRJ,2022-10,4740,122034.1,99867.31083333334,22166.78916666667,4.676537798874825,2023
SBRJ,2022-11,4236,110230.73333333334,89171.19166666667,21059.54166666667,4.9715631885426514,2023
SBRJ,2022-12,4837,126356.23333333334,101808.73708333333,24547.49625000001,5.07494237130453,2023
SBRJ,2023-01,4925,130066.25,103874.17625,26192.073749999996,5.318187563451776,2023
SBRJ,2023-02,4324,119526.53333333334,91440.12791666666,28086.405416666676,6.495468412735124,2023
SBRJ,2023-03,4862,124918.26666666666,102424.04,22494.22666666667,4.626537775949541,2023
SBRJ,2023-04,4667,119442.71666666666,98407.47,21035.24666666666,4.507230912077707,2023
SBRJ,2023-05,5461,140369.01666666666,115248.32416666666,25120.692500000005,4.600016938289691,2023
SBRJ,2023-06,4955,126343.53333333334,104759.84291666666,21583.69041666668,4.355941557349481,2023
SBRJ,2023-07,5249,133294.71666666667,110778.37541666666,22516.341250000012,4.28964397980568,2023
SBRJ,2023-08,5396,138359.71666666667,113793.76708333332,24565.94958333335,4.552622235606625,2023
SBRJ,2023-09,5030,124901.08333333333,106035.55208333333,18865.53125,3.750602634194831,2023
SBRJ,2023-10,4086,101463.45,85821.20666666667,15642.243333333332,3.828253385544134,2023
SBRJ,2023-11,3739,89293.23333333334,78305.95541666666,10987.277916666673,2.938560555406973,2023
SBRJ,2023-12,3161,75184.26666666666,65859.34916666667,9324.917499999996,2.949989718443529,2023
SBRJ,2024-01,2127,50936.683333333334,44453.7625,6482.920833333337,3.047917646136971,2023
SBRJ,2024-02,2432,58204.25,50984.33333333333,7219.9166666666715,2.9687157346491246,2023
SBRJ,2024-03,2553,60654.88333333333,53275.50125,7379.38208333333,2.890474768246506,2023
SBRJ,2024-04,2607,61151.85,54394.625,6757.2249999999985,2.5919543536632137,2023
SBRJ,2024-05,2821,63929.666666666664,58951.59375,4978.072916666664,1.7646483221079987,2023
SBRJ,2024-06,2465,57698.05,51728.572916666664,5969.477083333339,2.4216945571332005,2023
SBRJ,2024-07,2558,59992.833333333336,53501.02166666667,6491.811666666668,2.537846624967423,2023
SBRJ,2024-08,2542,59561.1,53288.24333333333,6272.856666666667,2.4676855494361396,2023
SBRJ,2024-09,2838,67138.23333333334,59401.01625,7737.217083333337,2.7262921364810913,2023
SBRJ,2024-10,2840,65902.86666666667,59223.20958333333,6679.657083333339,2.3519919307511756,2023
SBRJ,2024-11,2411,58315,50321.435,7993.565000000002,3.315456242223145,2023
SBRJ,2024-12,1841,44177.98333333333,38458.41083333333,5719.572500000002,3.1067748506246615,2023
SBPA,2021-03,1,26.2,21.583333333333336,4.616666666666664,4.616666666666664,2023
SBPA,2021-04,3,106.11666666666666,69.99000000000001,36.12666666666665,12.042222222222216,2023
SBPA,2021-05,25,672.3666666666667,556.1033333333334,116.26333333333332,4.650533333333333,2023
SBPA,2021-06,89,2205.983333333333,1949.6933333333334,256.28999999999974,2.8796629213483116,2023
SBPA,2021-07,115,2794.8166666666666,2497.385,297.4316666666664,2.5863623188405773,2023
SBPA,2021-08,121,2986.5,2648.9783333333335,337.52166666666653,2.789435261707988,2023
SBPA,2021-09,118,2995.366666666667,2563.541666666667,431.8249999999998,3.6595338983050834,2023
SBPA,2021-10,125,3089.0833333333335,2729.6400000000003,359.44333333333316,2.8755466666666654,2023
SBPA,2021-11,185,4718.183333333333,4006.5083333333337,711.6749999999997,3.8468918918918904,2023
SBPA,2021-12,200,4969.55,4339.528333333334,630.0216666666665,3.150108333333333,2023
SBPA,2022-01,144,3551.3333333333335,3115.6000000000004,435.7333333333331,3.0259259259259244,2023
SBPA,2022-02,99,2432.016666666667,2154.4900000000002,277.52666666666664,2.803299663299663,2023
SBPA,2022-03,137,3480.6,2979.7425000000003,500.8574999999996,3.655894160583939,2023
SBPA,2022-04,102,2610.9,2220.876666666667,390.0233333333331,3.823758169934638,2023
SBPA,2022-05,134,3372.3,2918.48,453.82000000000016,3.386716417910449,2023
