APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBCF,TXOT,2019-07-13,129,512.09,3.9696899224806206
SBBR,TXOT,2019-07-13,131,315.43,2.4078625954198474
SBSP,TXOT,2019-07-13,188,424.76,2.2593617021276597
SBGL,TXOT,2019-07-13,126,628.9,4.991269841269841
SBRJ,TXOT,2019-07-13,91,252.32,2.7727472527472528
SBPA,TXOT,2019-07-13,79,244.11,3.0900000000000003
SBKP,TXOT,2019-07-13,133,684.63,5.147593984962406
SBCT,TXOT,2019-07-13,72,202.29,2.8095833333333333
SBKP,TXOT,2019-07-14,130,599.76,4.613538461538462
SBGR,TXOT,2019-07-14,329,1329.62,4.041398176291793
SBGL,TXOT,2019-07-14,117,454.27,3.8826495726495724
SBSP,TXOT,2019-07-14,189,838.4,4.435978835978836
SBBR,TXOT,2019-07-14,121,289.98,2.396528925619835
SBSV,TXOT,2019-07-14,76,320.81,4.2211842105263155
SBCF,TXOT,2019-07-14,136,643.92,4.734705882352941
SBRJ,TXOT,2019-07-14,93,317.26,3.4113978494623654
SBPA,TXOT,2019-07-14,84,308.71999999999997,3.675238095238095
SBCT,TXOT,2019-07-14,73,328.52,4.50027397260274
SBSP,TXOT,2019-07-15,242,595.4,2.4603305785123966
SBRJ,TXOT,2019-07-15,121,435.64,3.6003305785123967
SBCF,TXOT,2019-07-15,151,728.25,4.822847682119205
SBGR,TXOT,2019-07-15,362,1570.01,4.337044198895027
SBGL,TXOT,2019-07-15,124,500.04,4.032580645161291
SBPA,TXOT,2019-07-15,97,309.59,3.1916494845360823
SBSV,TXOT,2019-07-15,85,285.27,3.356117647058823
SBBR,TXOT,2019-07-15,186,555.58,2.9869892473118282
SBKP,TXOT,2019-07-15,162,875.19,5.4024074074074075
SBCT,TXOT,2019-07-15,85,346.94,4.081647058823529
SBGL,TXOT,2019-07-16,116,539.06,4.647068965517241
SBRJ,TXOT,2019-07-16,122,319.13,2.6158196721311473
SBGR,TXOT,2019-07-16,374,1694.16,4.529839572192514
SBBR,TXOT,2019-07-16,181,562.89,3.1098895027624307
SBSP,TXOT,2019-07-16,244,1176.58,4.822049180327869
SBPA,TXOT,2019-07-16,95,428.11,4.506421052631579
SBCF,TXOT,2019-07-16,149,686.25,4.605704697986577
SBKP,TXOT,2019-07-16,152,1061.04,6.980526315789473
SBSV,TXOT,2019-07-16,86,408.56,4.750697674418604
SBCT,TXOT,2019-07-16,85,419.38,4.933882352941176
SBGR,TXOT,2019-07-17,366,1600.63,4.373306010928962
SBRJ,TXOT,2019-07-17,125,468.35,3.7468000000000004
SBPA,TXOT,2019-07-17,95,327.61,3.448526315789474
SBCT,TXOT,2019-07-17,86,372.15999999999997,4.3274418604651155
SBSV,TXOT,2019-07-17,83,338.46,4.077831325301204
SBSP,TXOT,2019-07-17,241,758.25,3.146265560165975
SBBR,TXOT,2019-07-17,185,542.75,2.9337837837837837
SBGL,TXOT,2019-07-17,129,557.85,4.324418604651163
SBCF,TXOT,2019-07-17,148,705.82,4.769054054054054
SBKP,TXOT,2019-07-17,165,1063.95,6.448181818181818
SBRJ,TXOT,2019-07-18,128,476.92,3.7259375
SBSP,TXOT,2019-07-18,243,555.25,2.2849794238683128
SBPA,TXOT,2019-07-18,98,465.87,4.753775510204082
SBCF,TXOT,2019-07-18,156,825.12,5.28923076923077
SBGR,TXOT,2019-07-18,383,1814.99,4.738877284595301
SBBR,TXOT,2019-07-18,185,525.6899999999999,2.841567567567567
SBCT,TXOT,2019-07-18,88,419.33,4.765113636363636
SBKP,TXOT,2019-07-18,165,1139.38,6.905333333333334
SBGL,TXOT,2019-07-18,123,559.0600000000001,4.545203252032521
SBSV,TXOT,2019-07-18,84,401.47,4.779404761904762
SBGR,TXOT,2019-07-19,371,1670.16,4.5017789757412405
SBSP,TXOT,2019-07-19,253,864.96,3.418814229249012
SBPA,TXOT,2019-07-19,103,449.23,4.361456310679612
SBBR,TXOT,2019-07-19,185,483.84,2.615351351351351
SBRJ,TXOT,2019-07-19,131,385.21,2.940534351145038
