ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EDDF,2023-02-25,ARR,521,1,1,0,1,0,3,3,1,11,15,28,47,66,63,50,44,31,23,27,7,11,8,10,9,7,54
EDDF,2023-02-25,DEP,522,2,0,0,0,0,0,3,0,0,0,2,5,22,73,76,65,60,42,40,30,13,20,11,8,13,37
EDDF,2023-02-26,ARR,556,3,3,1,1,2,0,3,2,12,13,27,41,69,42,49,41,31,29,32,22,21,11,13,14,13,61
EDDF,2023-02-26,DEP,538,1,0,0,0,1,0,0,1,0,2,2,6,20,43,59,47,38,42,40,25,22,24,33,37,26,69
EDDF,2023-02-27,ARR,526,2,3,1,0,2,1,1,6,13,18,32,37,65,74,64,43,42,31,22,17,8,12,5,6,3,18
EDDF,2023-02-27,DEP,530,0,0,1,0,2,1,0,0,1,2,7,11,55,61,85,72,58,57,33,22,10,2,8,10,6,26
EDDF,2023-02-28,ARR,487,1,0,1,0,1,1,2,2,3,26,49,66,91,78,37,30,29,17,16,5,10,4,3,3,2,10
EDDF,2023-02-28,DEP,488,1,0,1,0,0,0,1,0,0,0,4,21,60,129,81,63,54,16,14,14,4,4,3,5,2,11
EDDF,2023-03-01,ARR,521,0,0,2,0,0,2,2,6,9,20,45,77,74,80,56,44,26,27,12,6,6,4,3,0,2,18
EDDF,2023-03-01,DEP,523,1,0,0,0,0,0,0,0,1,2,6,15,48,107,104,78,47,20,31,16,11,7,3,5,2,19
EDDF,2023-03-02,ARR,532,0,0,1,1,1,2,10,6,10,25,47,65,84,78,43,40,25,22,19,12,5,8,3,4,2,19
EDDF,2023-03-02,DEP,543,1,0,0,0,0,1,1,0,1,1,7,8,51,101,101,72,51,39,27,16,12,9,14,7,0,23
EDDF,2023-03-03,ARR,548,2,0,1,1,1,2,2,7,18,25,49,77,82,82,49,29,29,29,15,10,8,5,4,4,3,14
EDDF,2023-03-03,DEP,545,0,0,0,0,0,1,0,0,0,1,4,7,42,93,108,79,62,44,32,14,21,12,5,2,2,16
EDDF,2023-03-04,ARR,522,3,1,1,0,1,3,5,7,14,31,56,76,75,54,42,38,26,17,13,11,10,7,5,2,5,19
EDDF,2023-03-04,DEP,529,0,0,0,0,0,0,0,0,0,1,5,10,47,93,94,82,44,36,29,23,17,10,6,5,5,22
EDDF,2023-03-05,ARR,557,1,1,1,1,1,1,2,7,11,19,52,83,73,74,51,42,37,19,12,15,11,9,5,5,4,20
EDDF,2023-03-05,DEP,542,0,0,0,1,1,1,0,0,1,3,4,12,58,105,87,77,38,42,28,17,16,5,9,7,8,22
EDDF,2023-03-06,ARR,522,2,3,0,1,1,0,1,2,10,19,46,60,82,64,67,38,37,28,12,13,9,8,4,1,1,13
EDDF,2023-03-06,DEP,514,2,0,0,0,0,0,0,1,0,0,4,11,63,103,83,62,49,29,24,21,17,7,12,3,1,22
