ICAO,DATE,PHASE,ARRS100,ADD100,TOT_A100,AVG_ADD_TIME
LPPT,2019-05-02,ARR,302,490.47333333333313,7880.883333333335,1.6240838852097124
LPPT,2019-05-03,ARR,314,678.443333333333,8295.650000000001,2.160647558386411
LPPT,2019-05-04,ARR,305,743.7633333333334,8152.550000000004,2.438568306010929
LPPT,2019-05-05,ARR,303,743.193333333333,8005.083333333331,2.4527832783278316
LPPT,2019-05-06,ARR,309,1105.1633333333332,8508.066666666666,3.576580366774541
LPPT,2019-05-07,ARR,310,1249.5866666666668,8353.433333333332,4.030924731182796
LPPT,2019-05-08,ARR,303,1124.1233333333334,8062.7333333333345,3.7099779977997804
LPPT,2019-05-09,ARR,288,1102.466666666667,7695.716666666666,3.82800925925926
LPPT,2019-05-10,ARR,322,514.9033333333333,8189.199999999999,1.5990786749482402
LPPT,2019-05-11,ARR,310,459.95999999999987,7991.8,1.4837419354838706
LPPT,2019-05-12,ARR,306,631.1099999999999,8054.683333333335,2.0624509803921565
LPPT,2019-05-13,ARR,311,881.3799999999998,8474.25,2.8340192926045007
LPPT,2019-05-14,ARR,303,487.67666666666673,7736.033333333336,1.6094939493949396
LPPT,2019-05-15,ARR,294,673.7566666666665,7849.699999999999,2.2916893424036275
LPPT,2019-05-16,ARR,300,1349.4733333333324,8667.016666666665,4.498244444444442
LPPT,2019-05-17,ARR,310,1002.9533333333335,8567.499999999998,3.2353333333333336
LPPT,2019-05-18,ARR,306,1049.9633333333331,8497.533333333335,3.4312527233115464
LPPT,2019-05-19,ARR,312,651.4399999999998,8198.083333333332,2.0879487179487173
LPPT,2019-05-20,ARR,311,1008.0299999999999,8593.48333333333,3.241254019292604
LPPT,2019-05-21,ARR,294,449.9066666666665,7644.316666666669,1.5302947845804984
LPPT,2019-05-22,ARR,299,861.6699999999995,8156.616666666667,2.8818394648829413
LPPT,2019-05-23,ARR,305,740.2099999999997,8202.633333333337,2.4269180327868844
LPPT,2019-05-24,ARR,315,844.8099999999995,8526.283333333336,2.6819365079365065
LPPT,2019-05-25,ARR,307,727.1666666666664,8184.750000000001,2.3686210640608025
LPPT,2019-05-26,ARR,307,923.8933333333331,8414.266666666666,3.009424538545059
LPPT,2019-05-27,ARR,312,847.3466666666665,8453.850000000002,2.7158547008547003
LPPT,2019-05-28,ARR,300,680.0166666666664,8009.433333333332,2.266722222222221
